Iteration : 17150 | Loss : 0.195868 | Accuracy : 94.418333
Iteration : 17200 | Loss : 0.195614 | Accuracy : 94.423333
Iteration : 17250 | Loss : 0.195361 | Accuracy : 94.428333
Iteration : 17300 | Loss : 0.195110 | Accuracy : 94.438333
Iteration : 17350 | Loss : 0.194859 | Accuracy : 94.448333
Iteration : 17400 | Loss : 0.194608 | Accuracy : 94.453333
Iteration : 17450 | Loss : 0.194359 | Accuracy : 94.460000
Iteration : 17500 | Loss : 0.194111 | Accuracy : 94.461667
Iteration : 17550 | Loss : 0.193863 | Accuracy : 94.465000
Iteration : 17600 | Loss : 0.193616 | Accuracy : 94.470000
Iteration : 17650 | Loss : 0.193370 | Accuracy : 94.473333
Iteration : 17700 | Loss : 0.193125 | Accuracy : 94.478333
Iteration : 17750 | Loss : 0.192880 | Accuracy : 94.483333
Iteration : 17800 | Loss : 0.192636 | Accuracy : 94.491667
Iteration : 17850 | Loss : 0.192394 | Accuracy : 94.495000
Iteration : 17900 | Loss : 0.192152 | Accuracy : 94.501667
Iteration : 17950 | Loss : 0.191911 | Accuracy : 94.501667
Iteration : 18000 | Loss : 0.191670 | Accuracy : 94.508333
Iteration : 18050 | Loss : 0.191431 | Accuracy : 94.513333
Iteration : 18100 | Loss : 0.191192 | Accuracy : 94.515000
Iteration : 18150 | Loss : 0.190954 | Accuracy : 94.518333
Iteration : 18200 | Loss : 0.190717 | Accuracy : 94.525000
Iteration : 18250 | Loss : 0.190481 | Accuracy : 94.526667
Iteration : 18300 | Loss : 0.190245 | Accuracy : 94.533333
Iteration : 18350 | Loss : 0.190011 | Accuracy : 94.541667
Iteration : 18400 | Loss : 0.189776 | Accuracy : 94.551667
Iteration : 18450 | Loss : 0.189543 | Accuracy : 94.560000
Iteration : 18500 | Loss : 0.189310 | Accuracy : 94.571667
Iteration : 18550 | Loss : 0.189078 | Accuracy : 94.573333
Iteration : 18600 | Loss : 0.188847 | Accuracy : 94.583333
Iteration : 18650 | Loss : 0.188617 | Accuracy : 94.591667
Iteration : 18700 | Loss : 0.188388 | Accuracy : 94.598333
Iteration : 18750 | Loss : 0.188159 | Accuracy : 94.598333
Iteration : 18800 | Loss : 0.187932 | Accuracy : 94.605000
Iteration : 18850 | Loss : 0.187704 | Accuracy : 94.611667
Iteration : 18900 | Loss : 0.187478 | Accuracy : 94.621667
Iteration : 18950 | Loss : 0.187253 | Accuracy : 94.631667
Iteration : 19000 | Loss : 0.187028 | Accuracy : 94.633333
Iteration : 19050 | Loss : 0.186804 | Accuracy : 94.638333
Iteration : 19100 | Loss : 0.186581 | Accuracy : 94.646667
Iteration : 19150 | Loss : 0.186359 | Accuracy : 94.648333
Iteration : 19200 | Loss : 0.186137 | Accuracy : 94.661667
Iteration : 19250 | Loss : 0.185917 | Accuracy : 94.665000
Iteration : 19300 | Loss : 0.185696 | Accuracy : 94.671667
Iteration : 19350 | Loss : 0.185477 | Accuracy : 94.676667
Iteration : 19400 | Loss : 0.185258 | Accuracy : 94.686667
Iteration : 19450 | Loss : 0.185041 | Accuracy : 94.695000
Iteration : 19500 | Loss : 0.184823 | Accuracy : 94.700000
Iteration : 19550 | Loss : 0.184607 | Accuracy : 94.711667
Iteration : 19600 | Loss : 0.184392 | Accuracy : 94.716667
Iteration : 19650 | Loss : 0.184177 | Accuracy : 94.726667
Iteration : 19700 | Loss : 0.183962 | Accuracy : 94.733333
Iteration : 19750 | Loss : 0.183749 | Accuracy : 94.733333
Iteration : 19800 | Loss : 0.183536 | Accuracy : 94.736667
